,SSC_CODE_2016,Census_Name_2016,pop_percentage
54,SSC10055,Anembo,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
55,SSC10056,Angledale,"1|United_Kingdom|57.14,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
56,SSC10057,Angledool,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
57,SSC10058,Anglers Reach,"1|United_Kingdom|24.0,2|Croatia|12.0,3|New_Zealand|12.0,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|36.0"
58,SSC10059,Angourie,"1|United_Kingdom|33.33,2|New_Zealand|22.22,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|11.11"
59,SSC10060,Anna Bay,"1|United_Kingdom|41.27,2|New_Zealand|11.35,3|Germany|8.08,4|Netherlands|3.28,5|Philippines|3.06,0|other_countries|27.51"
60,SSC10061,Annandale (NSW),"1|United_Kingdom|23.68,2|New_Zealand|9.66,3|China_exc_SARs_Taiwan|4.81,4|Italy|4.03,5|South_Africa|2.81,0|other_countries|51.02"
61,SSC10062,Annangrove,"1|United_Kingdom|22.62,2|New_Zealand|9.5,3|Italy|7.24,4|South_Africa|4.98,5|Germany|4.52,0|other_countries|45.25"
62,SSC10063,Appin (NSW),"1|United_Kingdom|43.46,2|New_Zealand|5.56,3|Ireland|3.92,4|Philippines|3.59,5|Malta|3.59,0|other_countries|35.62"
63,SSC10064,Apple Tree Flat,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
64,SSC10065,Appleby,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
65,SSC10066,Appletree Flat,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
66,SSC10067,Apsley (NSW),"1|United_Kingdom|42.86,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
67,SSC10068,Arable,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
68,SSC10069,Arakoon,"1|United_Kingdom|41.51,2|Germany|15.09,3|New_Zealand|7.55,4|Netherlands|5.66,5|India|0.0,0|other_countries|15.09"
69,SSC10070,Araluen (NSW),"1|United_Kingdom|31.82,2|New_Zealand|27.27,3|Philippines|13.64,4|Canada|13.64,5|India|0.0,0|other_countries|45.45"
70,SSC10071,Aratula (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
71,SSC10072,Arcadia (NSW),"1|United_Kingdom|39.32,2|New_Zealand|9.4,3|Italy|7.69,4|China_exc_SARs_Taiwan|4.7,5|Germany|4.27,0|other_countries|26.07"
72,SSC10073,Arcadia Vale,"1|United_Kingdom|46.48,2|New_Zealand|7.04,3|Germany|6.34,4|Ireland|5.63,5|South_Africa|4.23,0|other_countries|22.54"
73,SSC10074,Ardglen,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
74,SSC10075,Arding,"1|Netherlands|28.57,2|United_Kingdom|21.43,3|South_Africa|21.43,4|Turkey|0.0,5|Vietnam|0.0,0|other_countries|21.43"
75,SSC10076,Ardlethan,"1|United_Kingdom|48.48,2|Germany|9.09,3|New_Zealand|9.09,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|12.12"
76,SSC10077,Argalong,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
77,SSC10078,Argenton,"1|United_Kingdom|14.41,2|New_Zealand|11.02,3|Philippines|10.17,4|Greece|8.47,5|Germany|8.47,0|other_countries|40.68"
78,SSC10079,Argents Hill,"1|United_Kingdom|30.43,2|New_Zealand|26.09,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
79,SSC10080,Argoon (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
80,SSC10081,Ariah Park,"1|United_Kingdom|46.43,2|India|10.71,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
81,SSC10082,Arkell,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
82,SSC10083,Arkstone,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
83,SSC10084,Armatree,"1|New_Zealand|33.33,2|Indonesia|0.0,3|India|0.0,4|Hong_Kong_SAR_China|0.0,5|Greece|0.0,0|other_countries|33.33"
84,SSC10085,Armidale,"1|United_Kingdom|17.99,2|China_exc_SARs_Taiwan|8.57,3|New_Zealand|7.74,4|India|4.8,5|Philippines|4.53,0|other_countries|52.37"
85,SSC10086,Arncliffe,"1|China_exc_SARs_Taiwan|17.43,2|Lebanon|12.76,3|FYROM|7.27,4|Philippines|4.13,5|United_Kingdom|3.89,0|other_countries|53.23"
86,SSC10087,Arndell Park,"1|New_Zealand|25.0,2|China_exc_SARs_Taiwan|25.0,3|Philippines|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
87,SSC10088,Arrawarra,"1|United_Kingdom|54.43,2|New_Zealand|17.72,3|Philippines|8.86,4|Netherlands|5.06,5|Germany|3.8,0|other_countries|8.86"
88,SSC10089,Arrawarra Headland,"1|United_Kingdom|20.25,2|New_Zealand|13.92,3|Philippines|11.39,4|Korea_Republic_South|8.86,5|Ireland|6.33,0|other_countries|27.85"
89,SSC10090,Artarmon,"1|China_exc_SARs_Taiwan|20.33,2|India|9.97,3|United_Kingdom|7.58,4|Hong_Kong_SAR_China|6.08,5|Japan|5.03,0|other_countries|49.84"
90,SSC10091,Arthurville,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
91,SSC10092,Arumpo,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
92,SSC10093,Ashbury,"1|Italy|19.1,2|China_exc_SARs_Taiwan|9.15,3|Lebanon|9.05,4|United_Kingdom|8.36,5|Greece|8.16,0|other_countries|45.97"
93,SSC10094,Ashby (NSW),"1|United_Kingdom|48.94,2|Germany|6.38,3|Netherlands|6.38,4|New_Zealand|6.38,5|India|0.0,0|other_countries|8.51"
94,SSC10095,Ashby Heights,"1|United_Kingdom|60.0,2|New_Zealand|20.0,3|Germany|15.0,4|Indonesia|0.0,5|India|0.0,0|other_countries|0.0"
95,SSC10096,Ashby Island,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
96,SSC10097,Ashcroft,"1|Vietnam|20.44,2|Lebanon|16.11,3|Iraq|10.14,4|New_Zealand|6.95,5|Fiji|6.05,0|other_countries|41.37"
97,SSC10098,Ashfield (NSW),"1|China_exc_SARs_Taiwan|26.84,2|India|9.22,3|Philippines|4.78,4|United_Kingdom|4.18,5|Thailand|3.25,0|other_countries|50.98"
